stock_code,weight
002756,0.10000000018163206
688336,0.10000000018163206
688192,0.10000000018163206
300054,0.1
300604,0.1
300390,0.10000000018163206
003031,0.1
002281,0.1
688183,0.1
002025,0.0633571361170839
002203,0.023878638267482048
001389,0.008560155665178221
600707,0.0029030849567388177
688629,0.0009255248221843447
300570,0.00027530195559308024
300058,7.572422275932521e-05
002294,1.905330663463275e-05
002436,4.327894737882413e-06
300136,8.730408483886521e-07
300757,1.5320161603398313e-07
600126,2.2772444026453064e-08
600498,2.76859756158716e-09
000155,2.625484043055346e-10
002273,1.8170649180062056e-11
300432,8.325966342817803e-13
688387,2.1717494989827217e-14
300207,2.5038566999963244e-16
600549,7.940260260408214e-19
000062,2.3878638267482037e-22
301200,2.2772444026453053e-28
