policy,gamma,value_tilt,mid_size_tilt,min_size_rank,max_size_rank,min_pb_rank,max_pb_rank,min_flow_rank,max_flow_rank,flow_tilt,mean_excess_return,sum_excess_return,min_excess_return
drop_low_flow_30pct,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3,1.0,0.0,0.0077153427769269456,0.0077153427769269456,0.0077153427769269456
drop_low_flow_20pct,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,1.0,0.0,0.007629261871057219,0.007629261871057219,0.007629261871057219
positive_flow_tilt_050,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.0016994280305697139,0.005098284091709142,-0.020730815775107554
mid_size_positive_flow,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.25,0.001071609211402605,0.0032148276342078147,-0.022471310783639065
positive_flow_tilt_025,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.25,0.0009522146764282235,0.0028566440292846704,-0.022532968640843413
drop_low_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,1.0,0.0,0.0005932788782407617,0.001779836634722285,-0.023156657629285045
drop_biggest_10pct,1.0,0.0,0.0,0.0,0.9,0.0,1.0,0.0,1.0,0.0,0.0005154498649465276,0.0015463495948395828,-0.016940685496611985
value_positive_flow,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.25,0.0004275320436401356,0.0012825961309204069,-0.02328263162356791
base,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.00023264374028182078,0.0006979312208454623,-0.024236177491971933
concentrate_115,1.15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.00017194074065333734,0.000515822221960012,-0.02454629493498854
mid_size_025,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.1733426315168982e-06,6.520027894550695e-06,-0.02414613632995454
concentrate_130,1.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-7.48685817122489e-05,-0.0002246057451367467,-0.024825789405970508
value_tilt_025,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.00020141021385697289,-0.0006042306415709187,-0.02476204998836884
value_mid_size,1.0,0.25,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.0002117136483881348,-0.0006351409451644044,-0.024927172243296963
mid_size_050,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.0002271774374153305,-0.0006815323122459915,-0.024049872006106136
growth_tilt_025,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.0005776041601139696,-0.0017328124803419089,-0.02330156156540415
value_tilt_050,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.0006406144986310693,-0.001921843495893208,-0.02528419100055494
flatten_085,0.85,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.0006577711794667056,-0.001973313538400117,-0.0220389694464536
flatten_075,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.0013122509549752977,-0.003936752864925893,-0.020435373811250036
negative_flow_tilt_025,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.25,-0.002258533210562897,-0.006775599631688691,-0.025235840378425356
drop_high_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.0,1.0,0.0,-0.004354018875104016,-0.013062056625312048,-0.028769391078270232
drop_smallest_positive_flow,1.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,1.0,0.25,-0.012664534130022791,-0.037993602390068375,-0.02423810569198005
drop_smallest_10pct,1.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,1.0,0.0,-0.013261495825770282,-0.039784487477310844,-0.025449873730534214
drop_high_flow_20pct,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8,0.0,-0.01664671262370131,-0.049940137871103935,-0.026063734240709336
