policy,gamma,value_tilt,mid_size_tilt,min_size_rank,max_size_rank,min_pb_rank,max_pb_rank,min_flow_rank,max_flow_rank,flow_tilt,mean_excess_return,sum_excess_return,min_excess_return
drop_low_flow_30pct,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3,1.0,0.0,0.0017710344513270936,0.0017710344513270936,0.0017710344513270936
drop_low_flow_20pct,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,1.0,0.0,-0.0054246493162890125,-0.010849298632578025,-0.010214069527988201
growth_tilt_025,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.007653808605310433,-0.0229614258159313,-0.01405331736993013
positive_flow_tilt_050,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,-0.007767084385064435,-0.023301253155193304,-0.01515156667565478
positive_flow_tilt_025,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.25,-0.007907338289674893,-0.023722014869024678,-0.014800437524209571
mid_size_positive_flow,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.25,-0.007965410312488914,-0.023896230937466744,-0.015170987698601188
concentrate_115,1.15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.008064407684294818,-0.024193223052884454,-0.015241567362157399
base,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.008098362419522616,-0.024295087258567848,-0.014666120581206858
drop_low_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,1.0,0.0,-0.0081549111336708,-0.0244647334010124,-0.014711950264680224
concentrate_130,1.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.008201882133694525,-0.024605646401083574,-0.016119425428464215
mid_size_025,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.008239478604468565,-0.024718435813405694,-0.015105744538847311
mid_size_050,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.008373366261267792,-0.025120098783803377,-0.01553467069836912
negative_flow_tilt_025,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.25,-0.008446954305523113,-0.02534086291656934,-0.014586846599630707
value_positive_flow,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.25,-0.008588007386145822,-0.025764022158437466,-0.015675470404212792
value_tilt_025,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.00887370456893913,-0.02662111370681739,-0.015536492870333388
value_mid_size,1.0,0.25,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.00895229339381294,-0.026856880181438822,-0.016027998803483295
flatten_085,0.85,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.008969413828818449,-0.026908241486455344,-0.014759590767346759
flatten_075,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.00955567147698323,-0.02866701443094969,-0.014858831603803364
value_tilt_050,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.009611345945835443,-0.028834037837506328,-0.016418997667605705
drop_high_flow_20pct,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8,0.0,-0.00971336900326287,-0.02914010700978861,-0.011643502719111798
drop_smallest_positive_flow,1.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,1.0,0.25,-0.01100712102737604,-0.03302136308212812,-0.02466609464540466
drop_smallest_10pct,1.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,1.0,0.0,-0.01114534265750843,-0.03343602797252529,-0.024097429059989947
drop_biggest_10pct,1.0,0.0,0.0,0.0,0.9,0.0,1.0,0.0,1.0,0.0,-0.011333168758117863,-0.03399950627435359,-0.015945083517841956
drop_high_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.0,1.0,0.0,-0.013464771878761802,-0.040394315636285406,-0.01726963301781185
