policy,gamma,value_tilt,mid_size_tilt,min_size_rank,max_size_rank,min_pb_rank,max_pb_rank,min_flow_rank,max_flow_rank,flow_tilt,mean_excess_return,sum_excess_return,min_excess_return
drop_low_flow_30pct,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.3,1.0,0.0,0.006889181657585644,0.020667544972756934,-0.008911842211436465
drop_biggest_10pct,1.0,0.0,0.0,0.0,0.9,0.0,1.0,0.0,1.0,0.0,0.006639837524647439,0.019919512573942318,0.006042340887101028
drop_low_flow_20pct,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2,1.0,0.0,0.0055929628171022365,0.01677888845130671,-0.0027584302257110324
positive_flow_tilt_050,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.5,0.005116956808924361,0.015350870426773085,0.0021276271133858597
value_positive_flow,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.25,0.004928573847008581,0.014785721541025743,0.0028826409884214928
flatten_075,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.004915495100065145,0.014746485300195435,0.0010496297552404915
mid_size_positive_flow,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.25,0.004882518741024928,0.014647556223074783,0.0032006212136339862
flatten_085,0.85,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.004724134826257251,0.014172404478771751,0.0021326198050564543
positive_flow_tilt_025,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.25,0.004717173796722332,0.014151521390166996,0.0028149321001681646
mid_size_050,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.004691396036399165,0.014074188109197496,0.0036900166471398876
value_tilt_050,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.004685884405200933,0.0140576532156028,0.0035905309926022692
value_mid_size,1.0,0.25,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.004641374610274981,0.013924123830824944,0.0039094912715548664
mid_size_025,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0045180073889133044,0.013554022166739912,0.0036810816950070824
value_tilt_025,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.004496385525392173,0.013489156576176518,0.003583134542893565
base,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.004349562649960781,0.013048687949882343,0.0035740447798596024
drop_low_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,1.0,0.0,0.004336984483022381,0.013010953449067143,0.003155267606174683
growth_tilt_025,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.004244344619502258,0.012733033858506774,0.0025848440174585027
negative_flow_tilt_025,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,-0.25,0.004014984696404482,0.012044954089213446,0.0019593714782917618
concentrate_115,1.15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0038820550158391357,0.011646165047517407,0.0020752814261048302
concentrate_130,1.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.003337056435644944,0.010011169306934832,0.0005260674304191082
drop_smallest_10pct,1.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,1.0,0.0,0.002608548703948213,0.00782564611184464,-0.001988325725320532
drop_smallest_positive_flow,1.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,1.0,0.25,0.0025379867805597513,0.007613960341679254,-0.0013331230529290694
drop_high_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.0,1.0,0.0,0.0024388379534584655,0.007316513860375396,-0.0008279831449551009
drop_high_flow_20pct,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.8,0.0,-0.0017169807107775884,-0.005150942132332765,-0.00986206776345993
