stock_code,weight
002281,0.10000000018163206
600487,0.10000000018163206
300383,0.10000000018163206
600498,0.1
000657,0.1
002335,0.10000000018163206
600602,0.1
688387,0.1
002429,0.1
001389,0.0633571361170839
300757,0.023878638267482048
688702,0.008560155665178221
300223,0.0029030849567388177
300136,0.0009255248221843447
600549,0.00027530195559308024
688347,7.572422275932521e-05
601231,1.905330663463275e-05
300567,4.327894737882413e-06
300058,8.730408483886521e-07
601611,1.5320161603398313e-07
600131,2.2772444026453064e-08
300454,2.76859756158716e-09
002126,2.625484043055346e-10
688568,1.8170649180062056e-11
603688,8.325966342817803e-13
300604,2.1717494989827217e-14
301611,2.5038566999963244e-16
600871,7.940260260408214e-19
002056,2.3878638267482037e-22
002155,2.2772444026453053e-28
