stock_code,weight
300136,0.09517766739029612
300757,0.08778884994387944
300207,0.08083882438677219
688709,0.07430986483019962
002202,0.06818461086762971
600879,0.062446067574773285
301308,0.0570776055095839
300699,0.05206296071225788
688114,0.047386234705234384
601106,0.04303189449319529
300857,0.0389847725630653
601212,0.03523006688401185
601958,0.0317533409074452
688778,0.028540523567018364
600549,0.025577909278627138
000539,0.0228521579404101
000582,0.020350294932748602
688525,0.01805971111826678
600995,0.015968162841831543
603179,0.014063771930552587
601567,0.012335025693782378
603233,0.010770776923116166
002340,0.009360243892391977
688017,0.008093010357690618
000426,0.006959025557335674
600517,0.005948604211893508
002156,0.005052426524173262
300223,0.004261538179226857
002414,0.0035673503443489937
601061,0.002961639669077149
002195,0.002436548285191581
600688,0.001984583806715325
000021,0.0015986193299141961
300058,0.0012718934332967876
601168,0.0009980101776144714
605358,0.0007709391058613986
688172,0.0005850152432744986
000933,0.0004349390973334796
688019,0.00031577665776082886
688629,0.0002229593965218121
300627,0.00015228426782447382
301611,9.991370811963726e-05
300604,6.237563610090446e-05
301358,3.656345270465616e-05
300140,1.9736041110051804e-05
688122,9.517766739029613e-06
300496,3.898477256306529e-06
600007,1.2335025693782377e-06
688234,2.4365482851915807e-07
300003,1.522842678244738e-08
