top_k,rank_power,mean_excess_return,sum_excess_return,min_excess_return
100,0.5,-0.0052332385903733685,-0.015699715771120105,-0.023077386594744304
100,0.75,-0.005964625923437152,-0.017893877770311456,-0.02522882878261761
100,1.0,-0.006480713913877338,-0.019442141741632016,-0.027055194089721794
100,1.25,-0.0068537718326532925,-0.02056131549795988,-0.02866575180595565
80,0.5,-0.006989330415696139,-0.020967991247088417,-0.026917154406362637
100,1.5,-0.007131263102828053,-0.021393789308484158,-0.030121858127073315
80,0.75,-0.007262498566162255,-0.021787495698486765,-0.028935415025091053
70,0.5,-0.007358720719964527,-0.02207616215989358,-0.02929864917447225
80,1.0,-0.007477876976351221,-0.022433630929053663,-0.030745953874833996
80,1.25,-0.007646829407277724,-0.022940488221833172,-0.0323740017998302
70,0.75,-0.007672874252340212,-0.023018622757020636,-0.03149598433728423
55,0.5,-0.007686230638029837,-0.02305869191408951,-0.03346470392458139
80,1.5,-0.00777989473814814,-0.02333968421444442,-0.03385035835247351
40,0.5,-0.007785236390496184,-0.02335570917148855,-0.03726962240670165
70,1.0,-0.007847868082398714,-0.02354360424719614,-0.033271309531042556
55,0.75,-0.007853402837893,-0.023560208513679,-0.03530670847117637
60,0.5,-0.007856399355939963,-0.023569198067819888,-0.032046650382042616
60,0.75,-0.007879472223718579,-0.023638416671155738,-0.033870354634013035
45,0.5,-0.007889968704142462,-0.023669906112427384,-0.036572972627235835
50,0.5,-0.007922490228173,-0.023767470684519003,-0.03525484500385983
60,1.0,-0.00794198046627227,-0.02382594139881681,-0.03553428383601407
65,0.5,-0.00794299750392056,-0.023828992511761682,-0.031439361030665205
70,1.25,-0.007954751998905172,-0.023864255996715517,-0.03480426185348948
55,1.0,-0.00798678610255985,-0.02396035830767955,-0.03695409495944705
65,0.75,-0.007993095730366216,-0.023979287191098646,-0.03303076417915531
60,1.25,-0.008018621880238936,-0.02405586564071681,-0.03707200455606593
50,0.75,-0.008019904415135835,-0.024059713245407503,-0.03683402394539142
65,1.0,-0.008021542404796451,-0.02406462721438935,-0.034535642351919985
40,0.75,-0.008026667108940259,-0.024080001326820775,-0.03947405697462243
70,1.5,-0.008028933865477768,-0.024086801596433303,-0.036190868697457405
65,1.25,-0.008053184194587571,-0.024159552583762713,-0.03596377898132286
45,0.75,-0.008054346817839814,-0.02416304045351944,-0.03815359944535228
65,1.5,-0.008092401757508407,-0.02427720527252522,-0.03732490944697255
55,1.25,-0.00809497105404923,-0.02428491316214769,-0.038479226559433546
60,1.5,-0.008095713711520758,-0.024287141134562276,-0.03851209010119524
50,1.0,-0.008114211866698175,-0.024342635600094524,-0.0383880891332465
45,1.0,-0.00818136076685918,-0.02454408230057754,-0.039791739129208054
55,1.5,-0.008183320630447495,-0.024549961891342488,-0.03992389540058058
50,1.25,-0.008202227428796872,-0.024606682286390617,-0.03991170143004331
40,1.0,-0.008232516431304618,-0.024697549293913854,-0.04149110515685639
50,1.5,-0.008280029410436577,-0.02484008823130973,-0.04140343218967335
45,1.25,-0.008287892468909977,-0.024863677406729928,-0.04143899548041781
45,1.5,-0.00837525900340484,-0.025125777010214522,-0.04306675125280594
40,1.25,-0.008394153287554745,-0.025182459862664236,-0.04338328661052622
40,1.5,-0.008507832966288832,-0.025523498898866494,-0.045186787209013785
