top_k,rank_power,mean_excess_return,sum_excess_return,min_excess_return
100,0.5,0.0016666799651012566,0.00500003989530377,-0.017459993802017498
100,0.75,0.001497888729351116,0.0044936661880533475,-0.01958661860976791
100,1.0,0.001333721708453358,0.004001165125360074,-0.021565953804618135
65,0.5,0.0013299043749324762,0.003989713124797428,-0.024077466296784082
80,0.5,0.001259961425039881,0.003779884275119643,-0.021253237951343484
100,1.25,0.0011701604215709125,0.003510481264712737,-0.023436262830957837
70,0.5,0.0011138583319422145,0.0033415749958266433,-0.023775122415001723
80,0.75,0.0010637518269452373,0.003191255480835712,-0.023658973195216454
70,0.75,0.0010241408488495692,0.0030724225465487073,-0.025935549632432338
100,1.5,0.001006984660495878,0.003020953981487634,-0.025217056869789527
60,0.5,0.0010066747273493996,0.003020024182048199,-0.02613904591584991
65,0.75,0.0009982723048871194,0.002994816914661358,-0.026933781856716556
55,0.5,0.000947885152149113,0.0028436554564473387,-0.028314524728147973
80,1.0,0.0009073197307440545,0.0027219591922321637,-0.025819286970452833
50,0.5,0.0008894596897131268,0.0026683790691393802,-0.02994226378266098
70,1.0,0.0008462723921261276,0.002538817176378383,-0.02817281076664869
60,0.75,0.0007845241150528046,0.002353572345158414,-0.028932571645278987
80,1.25,0.0007518987288233012,0.0022556961864699035,-0.02784463706188231
65,1.0,0.0007216794231539846,0.002165038269461954,-0.029563985932576788
55,0.75,0.0007166671761464049,0.0021500015284392146,-0.030952144079737932
45,0.5,0.0006852823074016365,0.0020558469222049097,-0.031620582022964604
70,1.25,0.0006284384220395419,0.0018853152661186257,-0.030394288628649506
80,1.5,0.0005848508050939477,0.0017545524152818431,-0.029783322199521123
50,0.75,0.0005468232383646099,0.00164046971509383,-0.03285845285736244
60,1.0,0.000543320688255855,0.001629962064767565,-0.031544015299270194
65,1.25,0.0004615836432163035,0.0013847509296489105,-0.03201436545960688
55,1.0,0.00042533388966378705,0.0012760016689913611,-0.03357400200232689
70,1.5,0.00039215791499694574,0.0011764737449908372,-0.03255530598976157
60,1.25,0.0002815563694128058,0.0008446691082384175,-0.0340137251381354
45,0.75,0.0002468951425754415,0.0007406854277263245,-0.03519690705872031
65,1.5,0.00020202884854315697,0.0006060865456294709,-0.03431878410237314
50,1.0,0.00018293376161745978,0.0005488012848523793,-0.03573843704189196
55,1.25,0.00010593778034158341,0.00031781334102475023,-0.03612756036606045
40,0.5,6.673822522246936e-05,0.00020021467566740808,-0.03524269122873679
60,1.5,2.483408996505528e-06,7.450226989516584e-06,-0.03636349388944077
45,1.0,-0.00016986801049143768,-0.000509604031474313,-0.038474711735352427
50,1.25,-0.00018777392118268094,-0.0005633217635480428,-0.038513473179644486
55,1.5,-0.00022672748659813743,-0.0006801824597944123,-0.03858586511698973
40,0.75,-0.00025392107879707027,-0.0007617632363912108,-0.03867326567770506
50,1.5,-0.000561318628796631,-0.001683955886389893,-0.04115255162621783
45,1.25,-0.0005754296010544122,-0.0017262888031632367,-0.041496703616208434
40,1.0,-0.0006100399455576874,-0.0018301198366730623,-0.041966957647662576
45,1.5,-0.0009802829464095886,-0.0029408488392287657,-0.04429489576879439
40,1.25,-0.0010078619889292637,-0.003023585966787791,-0.04507615576026345
40,1.5,-0.0014438286119635828,-0.0043314858358907485,-0.04797598024715814
