top_k,rank_power,mean_excess_return,sum_excess_return,min_excess_return
40,1.5,-0.010536501978643866,-0.0316095059359316,-0.023034669235064878
40,1.25,-0.010880994852033218,-0.03264298455609965,-0.024038193818466155
45,1.5,-0.01103671768720243,-0.03311015306160729,-0.02508944542194702
40,1.0,-0.011275835641305958,-0.03382750692391787,-0.02537903657278775
45,1.25,-0.011404165558834204,-0.03421249667650261,-0.026400948588980233
50,1.5,-0.011516868938368683,-0.03455060681510605,-0.027046929333077376
40,0.75,-0.011711519223505917,-0.03513455767051775,-0.0271486240053238
45,1.0,-0.011836574643567313,-0.03550972393070194,-0.028046848381914985
55,1.5,-0.011870414146000832,-0.0356112424380025,-0.028729300572725845
50,1.25,-0.011879104764880294,-0.035637314294640884,-0.028469766149587766
60,1.5,-0.012098738405511131,-0.036296215216533395,-0.03027849916152308
40,0.5,-0.012171775332242785,-0.036515325996728354,-0.029457938269014147
55,1.25,-0.01218963635606654,-0.036568909068199616,-0.03018499875543769
50,1.0,-0.012271039545755555,-0.03681311863726666,-0.030131840306930578
65,1.5,-0.012278923342672332,-0.036836770028016996,-0.03154406481743003
45,0.75,-0.012349533608502904,-0.03704860082550871,-0.030093720022472265
60,1.25,-0.012367133531070607,-0.03710140059321182,-0.03175621524570849
70,1.5,-0.012382017001513127,-0.03714605100453938,-0.032377265266942255
80,1.5,-0.012443138460531335,-0.037329415381594004,-0.03359483576821735
55,1.0,-0.0125033914125361,-0.0375101742376083,-0.031847660896853695
65,1.25,-0.012507989620514139,-0.03752396886154242,-0.03290713418849956
100,1.5,-0.01251349076645134,-0.03754047229935402,-0.03558608404558993
80,1.25,-0.012528694006308622,-0.03758608201892587,-0.03450674760348108
100,1.25,-0.012553210918225819,-0.03765963275467746,-0.036425519699509495
70,1.25,-0.012555111379596784,-0.03766533413879035,-0.033520097479250936
100,1.0,-0.012579379553392478,-0.03773813866017743,-0.03732203770587669
80,1.0,-0.012584832942775986,-0.03775449882832796,-0.03539763210803315
100,0.75,-0.012596820965614583,-0.03779046289684375,-0.038303209602993785
100,0.5,-0.012618082049524413,-0.03785424614857324,-0.039411553683770514
80,0.75,-0.012619159866234816,-0.03785747959870445,-0.036260585454394846
60,1.0,-0.012627974551293464,-0.037883923653880394,-0.033411069246848425
80,0.5,-0.012667307715235379,-0.038001923145706135,-0.03710980664324
50,0.75,-0.012676375166024047,-0.03802912549807214,-0.03203242183413743
70,1.0,-0.012694116577375729,-0.03808234973212719,-0.034631108728653354
65,1.0,-0.012719125985060717,-0.03815737795518215,-0.03432031007631504
70,0.5,-0.012759949555437565,-0.0382798486663127,-0.036426555514511995
55,0.75,-0.012772440056848017,-0.03831732017054405,-0.03373061309415821
70,0.75,-0.012775047785831224,-0.03832514335749367,-0.03563464547784157
60,0.75,-0.012869334118592457,-0.03860800235577737,-0.03524398541448409
65,0.75,-0.012890528898511652,-0.03867158669553496,-0.035678066554239864
55,0.5,-0.012921207106394198,-0.038763621319182595,-0.035843336472998186
45,0.5,-0.012966717562903858,-0.038900152688711574,-0.03261001744777989
65,0.5,-0.012981395211757174,-0.03894418563527152,-0.0367514003761274
50,0.5,-0.013063015067112688,-0.03918904520133806,-0.034144067605044716
60,0.5,-0.013080384228210083,-0.03924115268463025,-0.0372401534145507
