stock_code,weight
600332,0.09518773135906927
002966,0.08894764674775252
600511,0.08291909042834479
601577,0.07710206240084612
600008,0.07149656266525647
600642,0.06610259122157588
600004,0.060920148069804336
000429,0.05594923320994183
603858,0.05118984664198837
000883,0.046641988365943944
601198,0.04230565838180857
601333,0.03818085668958223
601997,0.03426758328926494
600007,0.03056583818085669
601990,0.027075621364357483
601665,0.023796932839767318
002500,0.020729772607086198
601128,0.01787414066631412
600062,0.015230037017451084
600566,0.012797461660497092
601928,0.010576414595452142
001213,0.008566895822316236
600535,0.006768905341089371
600483,0.0051824431517715494
002939,0.003807509254362771
000958,0.0026441036488630354
002926,0.0016922263352723427
603658,0.0009518773135906928
600369,0.00042305658381808567
002608,0.00010576414595452142
