feature,mean_ic,abs_mean_ic,std_ic,stability_score,n_days,selected
amplitude_ma_20d,-0.0474198291768353,0.0474198291768353,0.24847182496039272,0.19084513239785542,481,True
amplitude_ma_20d_rank,-0.0474198291768353,0.0474198291768353,0.24847182496039272,0.19084513239785542,481,False
high_low_range,-0.046595173591633364,0.046595173591633364,0.1910522372585019,0.24388581036493204,501,True
vol_20d,-0.04633814591397403,0.04633814591397403,0.24035389078191818,0.19279052638882285,481,False
vol_20d_rank,-0.04633814591397403,0.04633814591397403,0.24035389078191818,0.19279052638882285,481,False
vol_5d,-0.04465130706463202,0.04465130706463202,0.196426930948801,0.2273164862499641,496,True
close_over_ma60,-0.03627735664146492,0.03627735664146492,0.21811135590062453,0.16632417036471545,442,True
ret_20d,-0.03418114594789642,0.03418114594789642,0.2018581395382142,0.16933167369132446,481,True
ret_20d_rank,-0.03418114594789642,0.03418114594789642,0.2018581395382142,0.16933167369132446,481,False
excess_ret_20d,-0.03418114594789642,0.03418114594789642,0.2018581395382142,0.16933167369132446,481,False
excess_ret_20d_rank,-0.03418114594789642,0.03418114594789642,0.2018581395382142,0.16933167369132446,481,False
ret_60d,-0.03341532035576913,0.03341532035576913,0.21549136193436647,0.15506498724974108,441,True
turnover_ma_20d,-0.028691241481901147,0.028691241481901147,0.23812291273507266,0.12048870334925958,482,True
close_over_ma20,-0.028654315643522627,0.028654315643522627,0.19452818643399672,0.14730085581910848,482,True
ret_10d,-0.025817021400118743,0.025817021400118743,0.1931407583585338,0.13366877064562066,491,True
mom_accel_5_20,0.022936439375707485,0.022936439375707485,0.18596452698268937,0.12333704933303326,481,True
reversal_3d,0.021526991877861085,0.021526991877861085,0.1671020829859923,0.12882462425702595,498,True
ret_3d,-0.021525284603285556,0.021525284603285556,0.1671023391802158,0.12881420987088235,498,False
ret_5d,-0.021270997251979114,0.021270997251979114,0.17566851898720373,0.12108530480765166,496,True
ret_5d_rank,-0.021270997251979114,0.021270997251979114,0.17566851898720373,0.12108530480765166,496,False
excess_ret_5d,-0.021270997251979114,0.021270997251979114,0.17566851898720373,0.12108530480765166,496,False
excess_ret_5d_rank,-0.021270997251979114,0.021270997251979114,0.17566851898720373,0.12108530480765166,496,False
rsi_14,-0.020356561972851978,0.020356561972851978,0.1740448813609611,0.11696089452776906,487,True
amount_z_20d,-0.02017339759330502,0.02017339759330502,0.12357413162149825,0.16324803646654965,482,True
amount_z_20d_rank,-0.02017339759330502,0.02017339759330502,0.12357413162149825,0.16324803646654965,482,False
close_pos_20d,-0.017476343632762868,0.017476343632762868,0.17388642787355432,0.10050377906257338,482,True
turnover_z_20d,-0.016787994942463965,0.016787994942463965,0.11626873904507169,0.14438834283403817,482,False
volume_z_20d,-0.016652306594154835,0.016652306594154835,0.11630638265030774,0.14317497492160078,482,False
intraday_ret,-0.009126161760736577,0.009126161760736577,0.1780786890164634,0.05124762858212801,501,True
vol_ratio_5_20,-0.00909884157282451,0.00909884157282451,0.11402434116973709,0.07979666168487982,481,True
ret_1d,-0.00849799379255966,0.00849799379255966,0.17950744629798054,0.047340356221752124,500,False
drawdown_20d,-0.007575486761100297,0.007575486761100297,0.20069472663938318,0.03774612886856423,482,True
overnight_ret,0.005824545340504772,0.005824545340504772,0.11645100403218928,0.05001670335269431,500,True
