top_k,rank_power,agreement_power,risk_penalty,equal_mix,max_weight,mean_excess,min_excess,std_excess,negative_windows,count,utility
50,1.2,1.0,0.0,0.1,0.06,0.0018678273164930666,-0.05427292682238182,0.026469736743732486,5,11,-0.05231336296286915
50,1.2,1.0,0.35,0.1,0.06,0.0018737602457779524,-0.05428532745945934,0.02647303300718607,5,11,-0.05231569448169417
50,1.2,1.0,0.7,0.1,0.06,0.0018793785840694938,-0.05429746159243504,0.02647633083109962,5,11,-0.05231818107916643
50,0.9,1.0,0.0,0.1,0.06,0.0018513700603791795,-0.05430082378393361,0.02647101077851651,5,11,-0.052346876904610116
50,0.9,1.0,0.35,0.1,0.06,0.0018573274240693228,-0.05431336114247556,0.026474376721207168,5,11,-0.0523492834417178
50,0.9,1.0,0.7,0.1,0.06,0.0018629680716390408,-0.054325629226179596,0.026477742211397207,5,11,-0.05235184501691802
50,0.6,1.0,0.0,0.1,0.06,0.0018347133380029153,-0.05432939136331824,0.026472338856195012,5,11,-0.05238100619403678
50,0.6,1.0,0.35,0.1,0.06,0.0018406953509997358,-0.05434206627639514,0.026475775221757702,5,11,-0.052383488220276775
50,0.6,1.0,0.7,0.1,0.06,0.0018463585082257145,-0.054354469130637906,0.026479209103872643,5,11,-0.05238612524612519
50,1.2,1.0,0.0,0.25,0.06,0.0018106019496803162,-0.05435639121674824,0.02645179434669813,5,11,-0.052416181367043166
50,1.2,1.0,0.35,0.25,0.06,0.0018155460574177209,-0.05436672508097951,0.026454531785431303,5,11,-0.05241812193752781
50,1.2,1.0,0.7,0.25,0.06,0.0018202280059940053,-0.05437683685845925,0.026457270024851466,5,11,-0.05242019161529441
50,0.9,1.0,0.0,0.25,0.06,0.0017968875695854065,-0.054379638684708076,0.026452893104796562,5,11,-0.052444118917438574
50,0.9,1.0,0.35,0.25,0.06,0.0018018520393271937,-0.05439008648349303,0.02645568884368087,5,11,-0.05244612206168884
50,0.9,1.0,0.7,0.25,0.06,0.0018065525789686258,-0.05440030988657972,0.02645848369193065,5,11,-0.05244825427596187
50,0.6,1.0,0.0,0.25,0.06,0.0017830069676051878,-0.05440344500086192,0.026454034955089304,5,11,-0.05247256877168429
50,0.6,1.0,0.35,0.25,0.06,0.0017879919784358704,-0.054414007428426,0.026456889624434002,5,11,-0.05247463488472823
50,0.6,1.0,0.7,0.25,0.06,0.0017927112761241851,-0.054424343140294984,0.02645974169585364,5,11,-0.05247683003201622
50,1.2,0.0,0.0,0.1,0.06,0.0015932665983505853,-0.054646326371956905,0.02636082126458054,5,11,-0.05278473454096869
50,1.2,0.0,0.35,0.1,0.06,0.001598825351768519,-0.0546653287295013,0.02636621329490259,5,11,-0.052791925209657906
50,1.2,0.0,0.7,0.1,0.06,0.0016040682492369708,-0.0546839282147384,0.02637155697036187,5,11,-0.05279917792219653
50,1.2,0.0,0.0,0.25,0.06,0.0015818013512282473,-0.05466755750806081,0.026361472903182793,5,11,-0.052809101379403936
50,1.2,0.0,0.35,0.25,0.06,0.00158643364574319,-0.054683392806014475,0.026365963904208978,5,11,-0.052815093013917735
50,0.9,0.0,0.0,0.1,0.06,0.0015763221505396593,-0.05467727202737949,0.026361757642779083,5,11,-0.052820480476582804
50,1.2,0.0,0.7,0.25,0.06,0.0015908027269668993,-0.054698892377045394,0.026370413683976583,5,11,-0.05282113612025448
50,0.9,0.0,0.35,0.1,0.06,0.0015819067053731923,-0.05469646874521242,0.026367242067651397,5,11,-0.05282778505866711
50,0.9,0.0,0.7,0.1,0.06,0.0015871731723774427,-0.054715258833254274,0.026372675779882622,5,11,-0.05283515107254577
50,0.9,0.0,0.0,0.25,0.06,0.0015676809780524748,-0.054693345554246306,0.02636226209858685,5,11,-0.05283889187914202
50,0.9,0.0,0.35,0.25,0.06,0.001572334773747087,-0.05470934281910707,0.026366830511744276,5,11,-0.05284497854565322
50,0.9,0.0,0.7,0.25,0.06,0.0015767234962506286,-0.05472500122580862,0.026371355707437896,5,11,-0.05285111616609402
50,0.6,0.0,0.0,0.1,0.06,0.0015592075746543603,-0.05470882295649147,0.0263627418405466,5,11,-0.05285677165937717
50,0.6,0.0,0.35,0.1,0.06,0.0015648181963534838,-0.05472821479368903,0.02636831944746611,5,11,-0.05286419054172646
50,0.6,0.0,0.0,0.25,0.06,0.0015534188314813909,-0.054719637995172946,0.026363088652168725,5,11,-0.052869136128664555
50,0.6,0.0,0.7,0.1,0.06,0.0015701084854297497,-0.05474719623527084,0.026373843970035362,5,11,-0.05287167024824159
50,0.6,0.0,0.35,0.25,0.06,0.001558094349563995,-0.05473579785950425,0.026367735149573242,5,11,-0.052875318153531865
50,0.6,0.0,0.7,0.25,0.06,0.001562502923794217,-0.054751615727489086,0.02637233642037711,5,11,-0.05288155061779352
100,1.2,0.0,0.0,0.1,0.06,-0.0005228199488653989,-0.04992099566175515,0.02352520383881033,6,11,-0.054356718305621075
100,1.2,0.0,0.0,0.25,0.06,-0.0005470899154034312,-0.049892194940370393,0.023499722187270023,6,11,-0.05435733742644317
100,0.9,0.0,0.0,0.1,0.06,-0.0005595318292439797,-0.04987794959023668,0.02348717526439004,6,11,-0.0543580953994835
100,0.9,0.0,0.0,0.25,0.06,-0.0005776831490522501,-0.049856323214105006,0.023468083175540375,6,11,-0.054358497871400346
100,0.6,0.0,0.0,0.1,0.06,-0.0005960517852343984,-0.04983479837737269,0.023449125528447193,6,11,-0.05435921219376981
100,0.6,0.0,0.0,0.25,0.06,-0.0006081164457109305,-0.04982036387005166,0.02343641198793333,6,11,-0.054359437764725266
100,1.2,0.0,0.35,0.25,0.06,-0.0005411410730966726,-0.049915250443723067,0.02353896506659369,6,11,-0.05437503260597894
100,0.9,0.0,0.35,0.25,0.06,-0.0005719738271900798,-0.04987937815794864,0.023507847224737272,6,11,-0.05437656252814359
100,0.6,0.0,0.35,0.25,0.06,-0.0006026561589492267,-0.04984341082747587,0.023476691228609528,6,11,-0.05437787546258713
100,1.2,0.0,0.35,0.1,0.06,-0.0005156813380972892,-0.04994866226577835,0.023572342406288086,6,11,-0.05437796429913632
100,0.9,0.0,0.35,0.1,0.06,-0.0005526806430093776,-0.04990561552284905,0.023534931513794613,6,11,-0.054379782835167464
100,0.6,0.0,0.35,0.1,0.06,-0.0005894994411203526,-0.04986245472628173,0.023497492118700013,6,11,-0.054381345306564396
100,1.2,0.0,0.7,0.25,0.06,-0.0005351380732146225,-0.04993749264202962,0.023576510425439234,6,11,-0.0543917612647922
100,0.9,0.0,0.7,0.25,0.06,-0.0005661929177440018,-0.04990161601061705,0.023545897441481018,6,11,-0.05439363688448449
100,0.6,0.0,0.7,0.25,0.06,-0.0005971065633896005,-0.04986563705602263,0.023515240818833084,6,11,-0.054395299001711445
100,1.2,0.0,0.7,0.1,0.06,-0.0005084777382388276,-0.04997535290374623,0.023617467887836027,6,11,-0.054398056452445574
100,0.9,0.0,0.7,0.1,0.06,-0.0005457435516740851,-0.04993230094605114,0.023580655988122097,6,11,-0.054400288116335294
100,0.6,0.0,0.7,0.1,0.06,-0.0005828399264488,-0.049889126200537835,0.02354380882760006,6,11,-0.05440226785367152
100,1.2,1.0,0.0,0.25,0.06,-0.0003424301690465483,-0.05037872879630895,0.02395337033622631,6,11,-0.0545580100308885
100,1.2,1.0,0.35,0.25,0.06,-0.00033274461873376377,-0.05039702231830676,0.023985133115123812,6,11,-0.054567241288498776
100,0.9,1.0,0.0,0.25,0.06,-0.0003772976479062431,-0.050348447421950035,0.02392475972931176,6,11,-0.054567556033404206
100,1.2,1.0,0.7,0.25,0.06,-0.0003232275408129433,-0.050414650015062706,0.024015474701510522,6,11,-0.054575886225228194
100,0.9,1.0,0.35,0.25,0.06,-0.00036767227921974464,-0.0503668005565958,0.023957091227222418,6,11,-0.05457702541998283
100,0.6,1.0,0.0,0.25,0.06,-0.00041221099953183576,-0.05031803050272818,0.02389600148708332,6,11,-0.05457702967293957
100,0.9,1.0,0.7,0.25,0.06,-0.00035820474803864767,-0.0503844829697242,0.023987979682150804,6,11,-0.054585889450410874
100,0.6,1.0,0.35,0.25,0.06,-0.0004026528323997251,-0.05033643806963789,0.023928902156714286,6,11,-0.05458674121336103
100,0.6,1.0,0.7,0.25,0.06,-0.00039324149364289735,-0.050354170123626606,0.023960338204715933,6,11,-0.054595828118997845
100,1.2,1.0,0.0,0.1,0.06,-0.0002772282532371403,-0.05050483628888142,0.024070944455287225,6,11,-0.0545978661403878
100,1.2,1.0,0.35,0.1,0.06,-0.00026560559286179614,-0.050526788515278795,0.024109167185816408,6,11,-0.05460897049848318
100,0.9,1.0,0.0,0.1,0.06,-0.00031906922786877333,-0.05046849863965072,0.02403642326200609,6,11,-0.054609274227160734
100,1.2,1.0,0.7,0.1,0.06,-0.0002541850993568123,-0.05054794175138594,0.024145697716160097,6,11,-0.0546193745792284
100,0.6,1.0,0.0,0.1,0.06,-0.00036096524981948285,-0.050431998336584495,0.024001741348843628,6,11,-0.05462059958898109
100,0.9,1.0,0.35,0.1,0.06,-0.0003075187854449758,-0.05049052240122563,0.02407532421980401,6,11,-0.05462066328113136
100,0.9,1.0,0.7,0.1,0.06,-0.00029615774802765546,-0.05051174129697972,0.024112507335726664,6,11,-0.054631329360147154
100,0.6,1.0,0.35,0.1,0.06,-0.000349495449260952,-0.05045408741687615,0.02404132094339491,6,11,-0.05463227813523537
100,0.6,1.0,0.7,0.1,0.06,-0.0003382018427527616,-0.05047536588166261,0.024079157383263265,6,11,-0.05464321071756615
80,1.2,0.0,0.0,0.1,0.06,-4.0198660023993444e-05,-0.05093023031153497,0.02453540954495377,6,11,-0.05473218923318342
80,1.2,0.0,0.0,0.25,0.06,-6.0228289941686904e-05,-0.05091064008865022,0.024522433873568377,6,11,-0.054737220811523914
80,0.9,0.0,0.0,0.1,0.06,-7.042034571917489e-05,-0.050900999415610375,0.024515881463141907,6,11,-0.05473999036087088
80,0.9,0.0,0.0,0.25,0.06,-8.541302802100354e-05,-0.05088628100871305,0.024506192808060073,6,11,-0.05474372983526385
80,0.6,0.0,0.0,0.1,0.06,-0.00010053370496620855,-0.050871667820037464,0.024496464799322566,6,11,-0.05474765059681933
80,0.6,0.0,0.0,0.25,0.06,-0.00011050749406019954,-0.050861838012402294,0.024490035539086942,6,11,-0.05475011918627331
80,1.2,0.0,0.35,0.25,0.06,-5.678009941227982e-05,-0.05094787740248425,0.02455134863962996,6,11,-0.05476334370081032
80,1.2,0.0,0.35,0.1,0.06,-3.606083138870536e-05,-0.05097491508813582,0.024570127509225707,6,11,-0.05476354176157663
80,0.9,0.0,0.35,0.25,0.06,-8.207438676487234e-05,-0.05092394366121652,0.024535553404300515,6,11,-0.054770328934569915
80,0.9,0.0,0.35,0.1,0.06,-6.641397621181595e-05,-0.05094619459861453,0.024551130916464648,6,11,-0.0547719134644967
