feature,mean_ic,abs_mean_ic,std_ic,stability_score,n_days,selected
amplitude_ma_20d,-0.04675946557750912,0.04675946557750912,0.25064386981118075,0.18655664332062574,481,True
amplitude_ma_20d_rank,-0.04675946557750912,0.04675946557750912,0.25064386981118075,0.18655664332062574,481,False
high_low_range,-0.04617386086980487,0.04617386086980487,0.1926217294365695,0.23971138299652162,501,True
vol_5d,-0.04578706348360831,0.04578706348360831,0.19693503103134155,0.2324971374909119,496,True
vol_20d,-0.04550181242091488,0.04550181242091488,0.24260424661965552,0.18755493978351742,481,False
vol_20d_rank,-0.04550181242091488,0.04550181242091488,0.24260424661965552,0.18755493978351742,481,False
close_over_ma60,-0.034184607712102605,0.034184607712102605,0.21842659262253766,0.15650315649990545,442,True
ret_20d,-0.03357012172510738,0.03357012172510738,0.20182073893191804,0.16633550926063434,481,True
ret_20d_rank,-0.03357012172510738,0.03357012172510738,0.20182073893191804,0.16633550926063434,481,False
excess_ret_20d,-0.03357012172510738,0.03357012172510738,0.20182073893191804,0.16633550926063434,481,False
excess_ret_20d_rank,-0.03357012172510738,0.03357012172510738,0.20182073893191804,0.16633550926063434,481,False
close_over_ma20,-0.029325646471222967,0.029325646471222967,0.19489472642367492,0.1504683915309322,482,True
ret_60d,-0.029108554763172395,0.029108554763172395,0.21663683343175336,0.1343650566573006,441,True
ret_10d,-0.027562134562801353,0.027562134562801353,0.19373516910486946,0.1422663341086401,491,True
turnover_ma_20d,-0.02698098882862274,0.02698098882862274,0.24069612074034805,0.1120951872861349,482,True
ret_5d,-0.022925168830430585,0.022925168830430585,0.17715634856839507,0.12940568943760114,496,True
ret_5d_rank,-0.022925168830430585,0.022925168830430585,0.17715634856839507,0.12940568943760114,496,False
excess_ret_5d,-0.022925168830430585,0.022925168830430585,0.17715634856839507,0.12940568943760114,496,False
excess_ret_5d_rank,-0.022925168830430585,0.022925168830430585,0.17715634856839507,0.12940568943760114,496,False
mom_accel_5_20,0.02221188085837514,0.02221188085837514,0.18673495780418128,0.11894806506236683,481,True
reversal_3d,0.02185910162537803,0.02185910162537803,0.16688495893256264,0.1309822693604267,498,True
ret_3d,-0.0218573943508025,0.0218573943508025,0.16688521885766458,0.13097183518457226,498,False
amount_z_20d,-0.02120986492658473,0.02120986492658473,0.12435806695999113,0.17055342601925744,482,True
amount_z_20d_rank,-0.02120986492658473,0.02120986492658473,0.12435806695999113,0.17055342601925744,482,False
rsi_14,-0.020405395061753637,0.020405395061753637,0.17388141343509872,0.11735168990721372,487,True
turnover_z_20d,-0.01785967114781046,0.01785967114781046,0.11719577670953654,0.15239046370766937,482,False
volume_z_20d,-0.017684498300477917,0.017684498300477917,0.11717490788405552,0.15092264800693128,482,False
close_pos_20d,-0.01760880721152289,0.01760880721152289,0.17409850446966585,0.1011422017837561,482,True
intraday_ret,-0.009610244974473811,0.009610244974473811,0.1782883705277423,0.05390251222508204,501,True
vol_ratio_5_20,-0.008997907923467805,0.008997907923467805,0.11434472659880979,0.0786903734062368,481,True
drawdown_20d,-0.008668020540405774,0.008668020540405774,0.20234037688077267,0.042838596208195745,482,True
ret_1d,-0.00820424378632108,0.00820424378632108,0.18064054068656815,0.04541725981266012,500,False
overnight_ret,0.006294074545435819,0.006294074545435819,0.1192697444998363,0.05277131933593705,500,True
