feature,mean_ic,abs_mean_ic,std_ic,stability_score,n_days,selected
amplitude_ma_20d,-0.052822925121852916,0.052822925121852916,0.24922412860859178,0.2119486322136134,485,True
amplitude_ma_20d_rank,-0.052822925121852916,0.052822925121852916,0.24922412860859178,0.2119486322136134,485,False
vol_20d,-0.05078954600382675,0.05078954600382675,0.24205151372493988,0.20982862446759068,485,False
vol_20d_rank,-0.05078954600382675,0.05078954600382675,0.24205151372493988,0.20982862446759068,485,False
high_low_range,-0.0499103488376991,0.0499103488376991,0.19178915451265352,0.26023415521262444,505,True
vol_5d,-0.04726615998817228,0.04726615998817228,0.19735020727430252,0.23950276586084457,500,True
close_over_ma60,-0.034265238660515555,0.034265238660515555,0.21743414668278607,0.1575883162555351,446,True
turnover_ma_20d,-0.032870701279036206,0.032870701279036206,0.23959732806815937,0.1371908624908491,486,True
ret_60d,-0.030913274829315232,0.030913274829315232,0.2175644712661704,0.1420872284991207,445,True
ret_20d,-0.0306749580343254,0.0306749580343254,0.20228651813988213,0.15164038946344488,485,True
ret_20d_rank,-0.0306749580343254,0.0306749580343254,0.20228651813988213,0.15164038946344488,485,False
excess_ret_20d,-0.0306749580343254,0.0306749580343254,0.20228651813988213,0.15164038946344488,485,False
excess_ret_20d_rank,-0.0306749580343254,0.0306749580343254,0.20228651813988213,0.15164038946344488,485,False
ret_10d,-0.02729168749256351,0.02729168749256351,0.19284684665425156,0.14151927525275187,495,True
close_over_ma20,-0.027248510317512648,0.027248510317512648,0.19413035404892084,0.14036120260432564,486,True
ret_5d,-0.022958583314552576,0.022958583314552576,0.1772634230353798,0.1295160242615086,500,True
ret_5d_rank,-0.022958583314552576,0.022958583314552576,0.1772634230353798,0.1295160242615086,500,False
excess_ret_5d,-0.022958583314552576,0.022958583314552576,0.1772634230353798,0.1295160242615086,500,False
excess_ret_5d_rank,-0.022958583314552576,0.022958583314552576,0.1772634230353798,0.1295160242615086,500,False
reversal_3d,0.022396811576936265,0.022396811576936265,0.1668081464236186,0.13426608826388123,502,True
ret_3d,-0.022395117906142212,0.022395117906142212,0.16680840985599113,0.13425572289642548,502,False
amount_z_20d,-0.021794200275308803,0.021794200275308803,0.12408074118763919,0.17564389463515928,486,True
amount_z_20d_rank,-0.021794200275308803,0.021794200275308803,0.12408074118763919,0.17564389463515928,486,False
rsi_14,-0.01874071524379537,0.01874071524379537,0.17384030234560538,0.10780358287087537,491,True
turnover_z_20d,-0.01867976635954844,0.01867976635954844,0.11691162216921851,0.1597754460806762,486,False
volume_z_20d,-0.01851782591738116,0.01851782591738116,0.11686379616116606,0.1584551252872043,486,False
mom_accel_5_20,0.018483418905115827,0.018483418905115827,0.18742672049839362,0.09861624980534425,485,True
close_pos_20d,-0.015027977006966512,0.015027977006966512,0.17359885183600324,0.08656676171108245,486,True
intraday_ret,-0.009860483890184346,0.009860483890184346,0.1776025679235585,0.05551962725449496,505,True
vol_ratio_5_20,-0.008478935811032637,0.008478935811032637,0.11406324810762254,0.07433473635869273,485,True
ret_1d,-0.008477314536225264,0.008477314536225264,0.17976228421597168,0.047158209048074724,504,False
overnight_ret,0.006901883144051286,0.006901883144051286,0.1196627770490178,0.05767729645725683,504,True
drawdown_20d,-0.003999132284763015,0.003999132284763015,0.2022377654354092,0.019774311201678364,486,True
