top_k,rank_power,agreement_power,risk_penalty,equal_mix,max_weight,mean_excess,min_excess,std_excess,negative_windows,count,utility
50,0.6,0.0,0.0,0.25,0.06,-0.009128391951692717,-0.05115595633468032,0.022317876502037114,6,11,-0.0634014348780102
50,0.6,0.0,0.0,0.1,0.06,-0.009127428897243281,-0.05116458341385077,0.02232395316907504,6,11,-0.0634071672378225
50,0.9,0.0,0.0,0.25,0.06,-0.009126416577217179,-0.0511779504628975,0.02233286426390554,6,11,-0.06341640292093206
50,0.9,0.0,0.0,0.1,0.06,-0.00912505844787263,-0.051190976367711374,0.022341947517977565,6,11,-0.06342513114799385
50,1.2,0.0,0.0,0.25,0.06,-0.009124729444796408,-0.05120022049724973,0.022347723506262938,6,11,-0.06343179261971199
50,1.2,0.0,0.0,0.1,0.06,-0.009123033888967708,-0.051217700408934044,0.022359791154942243,6,11,-0.0634436019230637
50,0.6,0.0,0.35,0.25,0.06,-0.009155790434668225,-0.0512998766796369,0.022350106687253915,6,11,-0.06352324311426384
50,0.9,0.0,0.35,0.25,0.06,-0.009153638409334964,-0.051320582216796064,0.022364698173069176,6,11,-0.0635371622826799
50,1.2,0.0,0.35,0.25,0.06,-0.009151773913309022,-0.051341555845308376,0.02237916123443674,6,11,-0.06355149772910323
50,0.6,0.0,0.35,0.1,0.06,-0.009160307076813886,-0.051337287827798644,0.022362667670481222,6,11,-0.06355334669111337
50,0.9,0.0,0.35,0.1,0.06,-0.009157724646413977,-0.05136213447238966,0.022380182895238656,6,11,-0.06357005105365743
50,1.2,0.0,0.35,0.1,0.06,-0.00915548725118284,-0.05138730282660442,0.022397547685220207,6,11,-0.06358725586845054
50,0.6,0.0,0.7,0.25,0.06,-0.009182133738508236,-0.05143188517303317,0.022379005964808588,6,11,-0.06363601633353028
50,0.9,0.0,0.7,0.25,0.06,-0.00917980048596565,-0.05145141880951027,0.022393240638518788,6,11,-0.06364896193130151
50,1.2,0.0,0.7,0.25,0.06,-0.009177754270243072,-0.05147121329730427,0.02240734707018286,6,11,-0.06366231901617135
50,0.6,0.0,0.7,0.1,0.06,-0.0091919190414219,-0.05149569801987418,0.022397464708520082,6,11,-0.06368870403047644
50,0.9,0.0,0.7,0.1,0.06,-0.0091891191383708,-0.051519138383646704,0.022414546450547378,6,11,-0.06370423878119566
50,1.2,0.0,0.7,0.1,0.06,-0.0091866636795037,-0.0515428917689995,0.02243147816781599,6,11,-0.0637202682828574
50,0.6,1.0,0.0,0.25,0.06,-0.009327601500411063,-0.05184884206523947,0.02234552443590984,6,11,-0.0640232878485322
50,0.9,1.0,0.0,0.25,0.06,-0.009325539900990325,-0.05186644600068717,0.02236078605710321,6,11,-0.06403560401567843
50,1.2,1.0,0.0,0.25,0.06,-0.009323746863394329,-0.05188428593544524,0.022375902224279997,6,11,-0.06404829398073147
50,0.6,1.0,0.35,0.25,0.06,-0.009349117662066168,-0.051961239581167926,0.022370466934454204,6,11,-0.06411847814438049
50,0.9,1.0,0.35,0.25,0.06,-0.009346921662184355,-0.051977773345107565,0.022385408836298172,6,11,-0.06412993787832344
50,1.2,1.0,0.35,0.25,0.06,-0.009344993935892259,-0.05199453793891967,0.022400205450427948,6,11,-0.06414176806185104
50,0.6,1.0,0.0,0.1,0.06,-0.009366480355705288,-0.051996046290521736,0.0223577504208506,6,11,-0.06415354573523098
50,0.9,1.0,0.0,0.1,0.06,-0.009364006436400407,-0.05201717101305897,0.022376097185770362,6,11,-0.06416833334067837
50,1.2,1.0,0.0,0.1,0.06,-0.009361854791285214,-0.05203857893476867,0.022394272873965237,6,11,-0.06418357037063772
50,0.6,1.0,0.7,0.25,0.06,-0.009369881763914767,-0.052064334700052825,0.022392805636221973,6,11,-0.06420668399300196
50,0.9,1.0,0.7,0.25,0.06,-0.009367545531402193,-0.05207989813846849,0.022407461481452663,6,11,-0.06421734978484646
50,1.2,1.0,0.7,0.25,0.06,-0.00936547750059506,-0.05209568754233314,0.022421972203859098,6,11,-0.06422838307695972
50,0.6,1.0,0.35,0.1,0.06,-0.00939229974969142,-0.05213092330963589,0.022387688581670773,6,11,-0.06426777588089065
50,0.9,1.0,0.35,0.1,0.06,-0.009389664549833239,-0.05215076382636346,0.02240564919883434,6,11,-0.06428153514535989
50,1.2,1.0,0.35,0.1,0.06,-0.009387351278282725,-0.052170881338937984,0.022423439091162675,6,11,-0.06429573985443618
50,0.6,1.0,0.7,0.1,0.06,-0.009417216671909735,-0.05225463745229776,0.022414557257953126,6,11,-0.06437363845777667
50,0.9,1.0,0.7,0.1,0.06,-0.009414413192894646,-0.05227331357839657,0.022432170931979186,6,11,-0.06438644407292739
50,1.2,1.0,0.7,0.1,0.06,-0.009411931555926088,-0.05229226086303414,0.022449614251605108,6,11,-0.06439969163664785
100,0.6,0.0,0.0,0.25,0.06,-0.00957602317025583,-0.048258983079802184,0.01967615104245267,7,11,-0.0644504507787503
100,0.6,0.0,0.0,0.1,0.06,-0.009574345444285164,-0.04828305486324923,0.019696623568365653,7,11,-0.06446833425432612
100,0.9,0.0,0.0,0.25,0.06,-0.00957191285210743,-0.048319278950707936,0.019727167343703184,7,11,-0.064495272058458
100,0.6,0.0,0.35,0.25,0.06,-0.00962514463486671,-0.04824384705060385,0.01971221120839614,7,11,-0.06449950566732805
100,0.9,0.0,0.0,0.1,0.06,-0.009569413062507085,-0.04835540990833614,0.019757913714829673,7,11,-0.06452213743621618
100,0.6,0.0,0.35,0.1,0.06,-0.009633291201818226,-0.04826489162821123,0.019740066058505496,7,11,-0.06452724269337134
60,1.2,0.0,0.0,0.1,0.06,-0.009825505258594235,-0.0519096672783807,0.02225338908580197,6,11,-0.06453465289707314
60,0.9,0.0,0.0,0.1,0.06,-0.009838759639999254,-0.05189680239460494,0.022237636284970528,6,11,-0.06453625014800485
60,1.2,0.0,0.0,0.25,0.06,-0.009834696165597854,-0.05190154955775421,0.022242852823114244,6,11,-0.06453633910602893
60,0.9,0.0,0.0,0.25,0.06,-0.009845741483435366,-0.051890828821274396,0.022229753018082603,6,11,-0.06453767703072066
60,0.6,0.0,0.0,0.1,0.06,-0.009852373183029972,-0.05188439472003619,0.02222190728284516,6,11,-0.06453848683576296
60,0.6,0.0,0.0,0.25,0.06,-0.009857086102627633,-0.051880489092467105,0.022216665449076738,6,11,-0.06453954592037708
100,1.2,0.0,0.0,0.25,0.06,-0.00956787186127173,-0.048379635233938685,0.019778125874633904,7,11,-0.06454018447029342
100,0.9,0.0,0.35,0.25,0.06,-0.009619926512074783,-0.048306562332681574,0.019763328161704393,7,11,-0.06454469595210983
100,0.6,0.0,0.7,0.25,0.06,-0.009670164940907569,-0.0482447531348036,0.019749591190232736,7,11,-0.06455441461934791
100,1.2,0.0,0.0,0.1,0.06,-0.009564563873504246,-0.04842783744821304,0.019819161207211763,7,11,-0.06457605664423502
100,0.9,0.0,0.35,0.1,0.06,-0.00962702945446791,-0.04834014996670449,0.019801513212175773,7,11,-0.06458149773753455
100,0.6,1.0,0.0,0.25,0.06,-0.00967714248840684,-0.04828072765175099,0.01977150327477781,7,11,-0.06458845489815189
100,1.2,0.0,0.35,0.25,0.06,-0.00961479871004406,-0.048369302966890064,0.019814360532748092,7,11,-0.06458997062336512
100,0.6,0.0,0.7,0.1,0.06,-0.009687315569067252,-0.04826597892925093,0.019785222839003812,7,11,-0.06459320863636876
100,0.9,0.0,0.7,0.25,0.06,-0.00966394411362622,-0.04830940430270976,0.0198006701144325,7,11,-0.0645997542238602
100,0.6,1.0,0.0,0.1,0.06,-0.00969568862606638,-0.0483091483495878,0.019812227100871268,7,11,-0.06463423441103688
100,1.2,0.0,0.35,0.1,0.06,-0.009620876092031045,-0.048415438727754695,0.019862884487974637,7,11,-0.06463586045067751
60,1.2,0.0,0.35,0.25,0.06,-0.009855866606438836,-0.05201949541919838,0.022277927272032795,6,11,-0.06463704567596606
60,0.9,0.0,0.35,0.25,0.06,-0.009867004509351627,-0.05200947017889966,0.02226523290776587,6,11,-0.06463899484363289
60,0.6,0.0,0.35,0.25,0.06,-0.009878441556594704,-0.05199981027728556,0.022252549282604228,6,11,-0.06464146504361709
100,0.9,1.0,0.0,0.25,0.06,-0.009674043009980432,-0.04835343366455506,0.01982539698412449,7,11,-0.06464245245474459
100,1.2,0.0,0.7,0.25,0.06,-0.009657833308339829,-0.048374048657249355,0.01985164141673379,7,11,-0.06464517285687289
100,0.9,0.0,0.7,0.1,0.06,-0.009679850576329634,-0.04834356033073833,0.01984665259323494,7,11,-0.06464764992308138
60,1.2,0.0,0.35,0.1,0.06,-0.00985090978760342,-0.05205120231211373,0.02229549600042954,6,11,-0.06465550517497903
60,0.9,0.0,0.35,0.1,0.06,-0.009864275271098767,-0.052039172023755256,0.02228023488451097,6,11,-0.06465783720647966
60,0.6,0.0,0.35,0.1,0.06,-0.009877999727790458,-0.05202758014181834,0.022264995911932605,6,11,-0.06466079679086462
100,0.6,1.0,0.35,0.25,0.06,-0.009724403532486896,-0.04832653102671496,0.019820482355256946,7,11,-0.06467544273733011
70,0.6,0.0,0.0,0.25,0.06,-0.00916796301456492,-0.04867000324709563,0.021273996774562386,7,11,-0.0646884641564629
100,1.2,1.0,0.0,0.25,0.06,-0.009671030024608226,-0.04842605447949479,0.019879084230051167,7,11,-0.06469643376981789
100,0.9,1.0,0.0,0.1,0.06,-0.009691969251954688,-0.048396395564952684,0.01987711345751206,7,11,-0.06469908495530431
100,1.2,0.0,0.7,0.1,0.06,-0.009672517609985965,-0.04842113355618584,0.019907977992077133,7,11,-0.06470219224171675
70,0.6,0.0,0.0,0.1,0.06,-0.009169205989187489,-0.04869314012182345,0.02128462887731117,7,11,-0.06470624728160936
100,0.9,1.0,0.35,0.25,0.06,-0.009720288545563182,-0.048399953697639296,0.019873837353875757,7,11,-0.0647287201026157
70,0.9,0.0,0.0,0.25,0.06,-0.009171044158561317,-0.0487277010332276,0.02130044132338233,7,11,-0.06473277510934346
100,0.6,1.0,0.35,0.1,0.06,-0.009752401878962445,-0.04836411239954458,0.01987138867042327,7,11,-0.064738716486295
