policy,n_windows,required_windows,gamma,value_tilt,mid_size_tilt,min_size_rank,max_size_rank,min_pb_rank,max_pb_rank,min_flow_rank,max_flow_rank,flow_tilt,mean_excess_return,sum_excess_return,min_excess_return,std_excess_return,utility_score
flatten_075,3,3,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.007806438678745948,-0.023419316036237845,-0.01945735431437784,0.008730418217291256,-0.031629002101769416
growth_tilt_025,3,3,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.007598748697176667,-0.02279624609153,-0.01979970018603859,0.009896167153728697,-0.032346532460079604
flatten_085,3,3,0.85,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.007878244030636354,-0.023634732091909062,-0.020035355489725917,0.009288954741262127,-0.03255807689099333
base,3,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.007941448863332758,-0.023824346589998276,-0.020928440182599276,0.010185221487412672,-0.03396249978963837
mid_size_025,3,3,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.0079516043946413,-0.0238548131839239,-0.020942528078891035,0.010194807329284695,-0.03399153613817468
mid_size_050,3,3,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.00795551396731572,-0.02386654190194716,-0.020945132840614278,0.010203793841885984,-0.034002543728872986
drop_low_pb_10pct,3,3,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,1.0,0.0,-0.008038829067996908,-0.024116487203990723,-0.020949555292645777,0.010383458816135184,-0.034180113768710274
concentrate_115,3,3,1.15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.007955159647703406,-0.02386547894311022,-0.021847443592335578,0.011122491200693899,-0.03536384884038594
drop_smallest_10pct,3,3,1.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,1.0,0.0,-0.008851144850971554,-0.02655343455291466,-0.02168781544936721,0.009786323325504522,-0.03543212196309103
value_mid_size,3,3,1.0,0.25,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.00825923314280377,-0.02477769942841131,-0.02200940755502749,0.010492409299068958,-0.03551484534736574
value_tilt_025,3,3,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.008260306317872166,-0.0247809189536165,-0.02202326648026906,0.010497362734618342,-0.0355322541654504
concentrate_130,3,3,1.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.007924545702739814,-0.023773637108219444,-0.02278546627432984,0.012077063791488882,-0.0367485438728141
value_tilt_050,3,3,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.00855140975253762,-0.02565422925761286,-0.02307650222295342,0.010830609995096543,-0.037043216973039306
drop_biggest_10pct,3,3,1.0,0.0,0.0,0.0,0.9,0.0,1.0,0.0,1.0,0.0,-0.010048849987024518,-0.030146549961073552,-0.023131767876133053,0.009866761614093323,-0.03811399867020423
drop_high_pb_10pct,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.0,1.0,0.0,-0.009948102461138175,-0.029844307383414523,-0.031189895386693423,0.015417896676792298,-0.04884694618622775
