policy,gamma,value_tilt,mid_size_tilt,min_size_rank,max_size_rank,min_pb_rank,max_pb_rank,mean_excess_return,sum_excess_return,min_excess_return
value_tilt_050,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.016119421599651147,0.048358264798953436,-0.024537826857203425
value_mid_size,1.0,0.25,0.25,0.0,1.0,0.0,1.0,0.0160534396423701,0.0481603189271103,-0.02388599775990734
mid_size_050,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.015884114946120322,0.04765234483836096,-0.02315897695902304
value_tilt_025,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.01564029472137821,0.04692088416413463,-0.025079333921784255
mid_size_025,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.01550293140712422,0.04650879422137266,-0.024364500011709672
base,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.01513290379592227,0.04539871138776681,-0.02552674085872182
drop_low_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.01513290379592227,0.04539871138776681,-0.02552674085872182
flatten_085,0.85,0.0,0.0,0.0,1.0,0.0,1.0,0.014840581436222555,0.04452174430866766,-0.02645768962238414
flatten_075,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.014628474602640475,0.043885423807921424,-0.02705321799919353
growth_tilt_025,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,0.014371284677753738,0.04311385403326121,-0.02652835894625668
concentrate_115,1.15,0.0,0.0,0.0,1.0,0.0,1.0,0.014276017073550133,0.0428280512206504,-0.0259511112644673
concentrate_130,1.3,0.0,0.0,0.0,1.0,0.0,1.0,0.01333606318763056,0.040008189562891684,-0.026137296945480566
drop_smallest_10pct,1.0,0.0,0.0,0.1,1.0,0.0,1.0,0.011472715016485176,0.03441814504945553,-0.037443740114872094
drop_biggest_10pct,1.0,0.0,0.0,0.0,0.9,0.0,1.0,-0.004128863989254703,-0.004128863989254703,-0.004128863989254703
