policy,gamma,value_tilt,mid_size_tilt,min_size_rank,max_size_rank,min_pb_rank,max_pb_rank,mean_excess_return,sum_excess_return,min_excess_return
flatten_075,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.009706276893605982,0.029118830680817945,-0.005983752942262869
flatten_085,0.85,0.0,0.0,0.0,1.0,0.0,1.0,0.00956342860962865,0.028690285828885952,-0.005988024176358114
growth_tilt_025,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,0.009413273186282559,0.028239819558847676,-0.005830906922994069
base,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.009255806055803275,0.027767418167409824,-0.006013970285978131
mid_size_025,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.009216096141970286,0.02764828842591086,-0.005463428741224537
mid_size_050,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.009182477139341639,0.027547431418024914,-0.004899525950256046
drop_smallest_10pct,1.0,0.0,0.0,0.1,1.0,0.0,1.0,0.009166519072886915,0.027499557218660743,-0.009845048781553116
value_tilt_025,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.009136704043909096,0.02741011213172729,-0.006154604101120142
value_mid_size,1.0,0.25,0.25,0.0,1.0,0.0,1.0,0.009099193004569179,0.027297579013707537,-0.005583758539940625
value_tilt_050,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.009062915289978385,0.027188745869935152,-0.006247978890853828
concentrate_115,1.15,0.0,0.0,0.0,1.0,0.0,1.0,0.008851451002131026,0.02655435300639308,-0.00605267627051217
drop_biggest_10pct,1.0,0.0,0.0,0.0,0.9,0.0,1.0,0.00839814976228489,0.02519444928685467,0.005924497043415845
concentrate_130,1.3,0.0,0.0,0.0,1.0,0.0,1.0,0.008368172552628549,0.02510451765788565,-0.006093367934165499
drop_high_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.008104411812382481,0.024313235437147442,-0.014187992588072
drop_low_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.00770141538793982,0.02310424616381946,-0.006013970285978131
