policy,gamma,value_tilt,mid_size_tilt,min_size_rank,max_size_rank,min_pb_rank,max_pb_rank,mean_excess_return,sum_excess_return,min_excess_return
value_tilt_050,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.019747473624550486,0.059242420873651454,-0.02547420673781571
drop_smallest_10pct,1.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0194046254133088,0.058213876239926396,-0.02582085138922744
value_mid_size,1.0,0.25,0.25,0.0,1.0,0.0,1.0,0.019308086361666636,0.05792425908499991,-0.02559418231673269
value_tilt_025,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.019211584961225745,0.05763475488367723,-0.025525896387936606
mid_size_050,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.018888130041262784,0.05666439012378835,-0.025476426648124877
mid_size_025,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.018836876107935035,0.0565106283238051,-0.025455246020202035
concentrate_115,1.15,0.0,0.0,0.0,1.0,0.0,1.0,0.018778610502137725,0.05633583150641318,-0.026995716485498325
base,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.018744555632693435,0.056233666898080306,-0.02541331181839157
drop_low_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.01870449128736428,0.05611347386209283,-0.025387895877464428
concentrate_130,1.3,0.0,0.0,0.0,1.0,0.0,1.0,0.01834113481815745,0.055023404454472354,-0.02812260697077655
growth_tilt_025,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,0.01829871739626775,0.054896152188803254,-0.02522052397422697
flatten_085,0.85,0.0,0.0,0.0,1.0,0.0,1.0,0.01820908124168033,0.05462724372504099,-0.02299660437532549
flatten_075,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.017894327098584316,0.05368298129575295,-0.021294138548057506
drop_biggest_10pct,1.0,0.0,0.0,0.0,0.9,0.0,1.0,0.016587026988589472,0.049761080965768416,-0.026874310391375583
drop_high_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.016480348541521483,0.04944104562456445,-0.03364765466552733
