policy,gamma,value_tilt,mid_size_tilt,min_size_rank,max_size_rank,min_pb_rank,max_pb_rank,mean_excess_return,sum_excess_return,min_excess_return
drop_low_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0005932788782407617,0.001779836634722285,-0.023156657629285045
drop_biggest_10pct,1.0,0.0,0.0,0.0,0.9,0.0,1.0,0.0005154498649465276,0.0015463495948395828,-0.016940685496611985
base,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00023264374028182078,0.0006979312208454623,-0.024236177491971933
concentrate_115,1.15,0.0,0.0,0.0,1.0,0.0,1.0,0.00017194074065333734,0.000515822221960012,-0.02454629493498854
mid_size_025,1.0,0.0,0.25,0.0,1.0,0.0,1.0,2.1733426315168982e-06,6.520027894550695e-06,-0.02414613632995454
concentrate_130,1.3,0.0,0.0,0.0,1.0,0.0,1.0,-7.48685817122489e-05,-0.0002246057451367467,-0.024825789405970508
value_tilt_025,1.0,0.25,0.0,0.0,1.0,0.0,1.0,-0.00020141021385697289,-0.0006042306415709187,-0.02476204998836884
value_mid_size,1.0,0.25,0.25,0.0,1.0,0.0,1.0,-0.0002117136483881348,-0.0006351409451644044,-0.024927172243296963
mid_size_050,1.0,0.0,0.5,0.0,1.0,0.0,1.0,-0.0002271774374153305,-0.0006815323122459915,-0.024049872006106136
growth_tilt_025,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,-0.0005776041601139696,-0.0017328124803419089,-0.02330156156540415
value_tilt_050,1.0,0.5,0.0,0.0,1.0,0.0,1.0,-0.0006406144986310693,-0.001921843495893208,-0.02528419100055494
flatten_085,0.85,0.0,0.0,0.0,1.0,0.0,1.0,-0.0006577711794667056,-0.001973313538400117,-0.0220389694464536
flatten_075,0.75,0.0,0.0,0.0,1.0,0.0,1.0,-0.0013122509549752977,-0.003936752864925893,-0.020435373811250036
drop_high_pb_10pct,1.0,0.0,0.0,0.0,1.0,0.0,0.9,-0.004354018875104016,-0.013062056625312048,-0.028769391078270232
drop_smallest_10pct,1.0,0.0,0.0,0.1,1.0,0.0,1.0,-0.013261495825770282,-0.039784487477310844,-0.025449873730534214
