policy,n_windows,required_windows,gamma,value_tilt,mid_size_tilt,min_size_rank,max_size_rank,min_pb_rank,max_pb_rank,min_flow_rank,max_flow_rank,flow_tilt,mean_excess_return,sum_excess_return,min_excess_return,std_excess_return,utility_score
drop_low_pb_10pct,3,3,1.0,0.0,0.0,0.0,1.0,0.1,1.0,0.0,1.0,0.0,0.011607848109339161,0.034823544328017486,0.0020908813364262364,0.012678219584696886,0.0073596196534169555
growth_tilt_025,3,3,1.0,-0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.009944499055946522,0.029833497167839566,0.0016730976303457573,0.010064014258149567,0.0065855895572174954
base,3,3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.008607340875559722,0.025822022626679163,0.0020908813364262364,0.008438978736113193,0.006478732843929362
concentrate_115,3,3,1.15,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.008903660305559532,0.026710980916678596,0.001939205314814084,0.009764815608873061,0.005960457815937085
value_tilt_025,3,3,1.0,0.25,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.007339481345886363,0.02201844403765909,0.0018844866068879265,0.007460796612840425,0.005493569646354077
mid_size_025,3,3,1.0,0.0,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.007993571426304054,0.02398071427891216,0.0013254460592659538,0.008306613233697555,0.005165710868721231
value_mid_size,3,3,1.0,0.25,0.25,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0068351465296415115,0.020505439588924534,0.0016838263738920695,0.007233789079743559,0.004902078363661801
concentrate_130,3,3,1.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.008791714861881414,0.02637514458564424,0.0011037968351213616,0.010243018500538659,0.0047740024467334465
mid_size_050,3,3,1.0,0.0,0.5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0073801816569109375,0.02214054497073281,0.0005350718814074048,0.008196804982509789,0.0038168510470634473
drop_smallest_10pct,3,3,1.0,0.0,0.0,0.1,1.0,0.0,1.0,0.0,1.0,0.0,0.008731549913607868,0.026194649740823604,0.0001258336432900728,0.010518219026131594,0.003598274043832144
value_tilt_050,3,3,1.0,0.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0061179670096735165,0.01835390102902055,0.0006278669871464006,0.006543230517518857,0.0034742187380604884
flatten_085,3,3,0.85,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.007423062445378292,0.022269187336134876,0.000184749042125201,0.008566487498128769,0.003324567738439109
flatten_075,3,3,0.75,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.006557342408515742,0.019672027225547225,-0.0012104573464609032,0.008630971313921536,0.0010313994050940708
drop_high_pb_10pct,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.9,0.0,1.0,0.0,-0.0009807299987085766,-0.00294218999612573,-0.0044459850337395385,0.0025296974634607043,-0.006691563764178467
drop_biggest_10pct,3,3,1.0,0.0,0.0,0.0,0.9,0.0,1.0,0.0,1.0,0.0,-0.006316334667711888,-0.018949004003135664,-0.00795550319178197,0.0023008932525034184,-0.015422284485745567
